Вал;Val
Жилой район;Zhr
Зона;Zona
Квартал;Kvl
Микрорайон;Mkr
Набережная;Nab
Район;Rn
Территория;Ter
Усадьба;Us
Взвоз;Vzv
Въезд;Vzd
Заезд;Zzd
Километр;Km
Кольцо;Kco
Коса;Kosa
Линия;Ln
Магистраль;Mgstr
Набережная;Nab
Переезд;Perd
Переулок;Per
Площадка;Plka
Проезд;Prd
Просек;Prk
Просека;Prka
Проспект;Prkt
Проулок;Proul
Разъезд;Rzd
Спуск;Sk
Съезд;Szd
Тракт;Trakt
Тупик;Tup
Владение;Vld
Домовладение;Dvld
Дом;D
Здание;Zd
Земельный участок;Zu
Котельная;Kot
Корпус;K
Объект незавершенного строительства;Ons
Павильон;Pav
Рабочий участок;Rabuch
Сооружение;Soor
Строение;Str
