RAL,RGB,HEX,CMYK,English
RAL 1000,205-186-136,#CDBA88,0-9-34-20,Green beige
RAL 1001,208-176-132,#D0B084,0-15-37-18,Beige
RAL 1002,210-170-109,#D2AA6D,0-19-48-18,Sand yellow
RAL 1003,249-169-0,#F9A900,0-32-100-2,Signal yellow
RAL 1004,228-158-0,#E49E00,0-31-100-11,Golden yellow
RAL 1005,203-143-0,#CB8F00,0-30-100-20,Honey yellow
RAL 1006,225-144-0,#E19000,0-36-100-12,Maize yellow
RAL 1007,232-140-0,#E88C00,0-40-100-9,Daffodil yellow
RAL 1011,175-128-80,#AF8050,0-27-54-31,Brown beige
RAL 1012,221-175-40,#DDAF28,0-21-82-13,Lemon yellow
RAL 1013,227-217-199,#E3D9C7,0-4-12-11,Oyster white
RAL 1014,221-196-155,#DDC49B,0-11-30-13,Ivory
RAL 1015,230-210-181,#E6D2B5,0-9-21-10,Light ivory
RAL 1016,241-221-57,#F1DD39,0-8-76-5,Sulfur yellow
RAL 1017,246-169-81,#F6A951,0-31-67-4,Saffron yellow
RAL 1018,250-202-49,#FACA31,0-19-80-2,Zinc yellow
RAL 1019,164-143-122,#A48F7A,0-13-26-36,Grey beige
RAL 1020,160-143-101,#A08F65,0-11-37-37,Olive yellow
RAL 1021,246-182-0,#F6B600,0-26-100-4,Colza yellow
RAL 1023,247-181-0,#F7B500,0-27-100-3,Traffic yellow
RAL 1024,186-143-76,#BA8F4C,0-23-59-27,Ochre yellow
RAL 1026,255-255-0,#FFFF00,0-0-100-0,Luminous yellow
RAL 1027,167-127-15,#A77F0F,0-24-91-35,Curry
RAL 1028,255-156-0,#FF9C00,0-39-100-0,Melon yellow
RAL 1032,226-163-0,#E2A300,0-28-100-11,Broom yellow
RAL 1033,249-154-29,#F99A1D,0-38-88-2,Dahlia yellow
RAL 1034,235-156-82,#EB9C52,0-34-65-8,Pastel yellow
RAL 1035,143-131-112,#8F8370,0-8-22-44,Pearl beige
RAL 1036,128-100-64,#806440,0-22-50-50,Pearl gold
RAL 1037,240-146-0,#F09200,0-39-100-6,Sun yellow
RAL 2000,218-110-0,#DA6E00,0-50-100-15,Yellow orange
RAL 2001,186-72-28,#BA481C,0-61-85-27,Red orange
RAL 2002,191-57-34,#BF3922,0-70-82-25,Vermilion
RAL 2003,246-120-41,#F67829,0-51-83-4,Pastel orange
RAL 2004,226-83-4,#E25304,0-63-98-11,Pure orange
RAL 2005,255-77-8,#FF4D08,0-70-97-0,Luminous orange
RAL 2007,255-178-0,#FFB200,0-30-100-0,Luminous bright orange
RAL 2008,236-107-34,#EC6B22,0-55-86-7,Bright red orange
RAL 2009,222-83-8,#DE5308,0-63-96-13,Traffic orange
RAL 2010,208-93-41,#D05D29,0-55-80-18,Signal orange
RAL 2011,226-110-15,#E26E0F,0-51-93-11,Deep orange
RAL 2012,213-101-78,#D5654E,0-53-63-16,Salmon orange
RAL 2013,146-62-37,#923E25,0-58-75-43,Pearl orange
RAL 2017,252-85-0,#FC5500,0-66-100-1,RAL orange
RAL 3000,167-41-32,#A72920,0-75-81-35,Flame red
RAL 3001,155-36-35,#9B2423,0-77-77-39,Signal red
RAL 3002,155-35-33,#9B2321,0-77-79-39,Carmine red
RAL 3003,134-26-34,#861A22,0-81-75-47,Ruby red
RAL 3004,107-28-35,#6B1C23,0-74-67-58,Purple red
RAL 3005,89-25-31,#59191F,0-72-65-65,Wine red
RAL 3007,62-32-34,#3E2022,0-48-45-76,Black red
RAL 3009,109-52-45,#6D342D,0-52-59-57,Oxide red
RAL 3011,120-36-35,#782423,0-70-71-53,Brown red
RAL 3012,197-133-109,#C5856D,0-32-45-23,Beige red
RAL 3013,151-46-37,#972E25,0-70-75-41,Tomato red
RAL 3014,203-115-117,#CB7375,0-43-42-20,Antique pink
RAL 3015,216-160-166,#D8A0A6,0-26-23-15,Light pink
RAL 3016,166-61-48,#A63D30,0-63-71-35,Coral red
RAL 3017,202-85-93,#CA555D,0-58-54-21,Rose
RAL 3018,198-63-74,#C63F4A,0-68-63-22,Strawberry red
RAL 3020,187-31-17,#BB1F11,0-83-91-27,Traffic red
RAL 3022,207-105-85,#CF6955,0-49-59-19,Salmon pink
RAL 3024,255-45-33,#FF2D21,0-82-87-0,Luminous red
RAL 3026,255-42-28,#FF2A1C,0-84-89-0,Luminous bright red
RAL 3027,171-39-60,#AB273C,0-77-65-33,Raspberry red
RAL 3028,204-44-36,#CC2C24,0-78-82-20,Pure red
RAL 3031,166-52-55,#A63437,0-69-67-35,Orient red
RAL 3032,112-29-36,#701D24,0-74-68-56,Pearl ruby red
RAL 3033,165-58-46,#A53A2E,0-65-72-35,Pearl pink
RAL 4001,129-97-131,#816183,2-26-0-49,Red lilac
RAL 4002,141-60-75,#8D3C4B,0-57-47-45,Red violet
RAL 4003,196-97-140,#C4618C,0-51-29-23,Heather violet
RAL 4004,101-30-56,#651E38,0-70-45-60,Claret violet
RAL 4005,118-104-154,#76689A,23-32-0-40,Blue lilac
RAL 4006,144-51-115,#903373,0-65-20-44,Traffic purple
RAL 4007,71-36-60,#47243C,0-49-15-72,Purple violet
RAL 4008,132-76-130,#844C82,0-42-2-48,Signal violet
RAL 4009,157-134-146,#9D8692,0-15-7-38,Pastel violet
RAL 4010,187-64-119,#BB4077,0-66-36-27,Telemagenta
RAL 4011,110-99-135,#6E6387,19-27-0-47,Pearl violet
RAL 4012,106-107-127,#6A6B7F,17-16-0-50,Pearl blackberry
RAL 5000,48-79-110,#304F6E,56-28-0-57,Violet blue
RAL 5001,14-76-100,#0E4C64,86-24-0-61,Green blue
RAL 5002,0-56-122,#00387A,100-54-0-52,Ultramarine blue
RAL 5003,31-56-85,#1F3855,64-34-0-67,Sapphire blue
RAL 5004,25-30-40,#191E28,38-25-0-84,Black blue
RAL 5005,0-83-135,#005387,100-39-0-47,Signal blue
RAL 5007,55-107-140,#376B8C,61-24-0-45,Brillant blue
RAL 5008,43-58-68,#2B3A44,37-15-0-73,Grey blue
RAL 5009,33-95-120,#215F78,73-21-0-53,Azure blue
RAL 5010,0-79-124,#004F7C,100-36-0-51,Gentian blue
RAL 5011,26-43-60,#1A2B3C,57-28-0-76,Steel blue
RAL 5012,0-137-182,#0089B6,100-25-0-29,Light blue
RAL 5013,25-49-83,#193153,70-41-0-67,Cobalt blue
RAL 5014,99-125-150,#637D96,34-17-0-41,Pigeon blue
RAL 5015,0-124-175,#007CAF,100-29-0-31,Sky blue
RAL 5017,0-91-140,#005B8C,100-35-0-45,Traffic blue
