UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
1-й Ирининский переулок;1-й Ирининский пер.;8880;Pervy'j Irininskij pereulok;2;;102;7,70000000007063E+016;58481065
2-й Ирининский переулок;2-й Ирининский пер.;8890;Vtoroj Irininskij pereulok;2;;102;7,70000000003622E+016;58481066
3-й Ирининский переулок;3-й Ирининский пер.;8891;Tretij Irininskij pereulok;2;;102;7,70000000003623E+016;58481067
Иркутская улица;Иркутская ул.;8910;Irkutskaya ulicza;1;;406;7,70000000001397E+016;58481068
1-й Иртышский проезд;1-й Иртышский пр.;8920;Pervy'j Irty'shskij proezd;3;;406;7,70000000003316E+016;58481069
2-й Иртышский проезд;2-й Иртышский пр.;8930;Vtoroj Irty'shskij proezd;3;;406;7,70000000001398E+016;58481070
улица Исаковского;ул. Исаковского;8935;ulicza Isakovskogo;1;;905;7,70000000001399E+016;58481071
улица Искры;ул. Искры;8940;ulicza Iskry';1;;303;7,700000000014E+016;58481072
проезд Воскресенские Ворота;пр. Воскресенские Ворота;8950;proezd Voskresenskie Vorota;3;;108;7,70000000007023E+016;58481073
Истринская улица;Истринская ул.;8960;Istrinskaya ulicza;1;;807;7,70000000001402E+016;58481074
1-я Кабельная улица;1-я Кабельная ул.;8970;Pervaya Kabel`naya ulicza;1;;507;7,70000000000243E+016;58481075
2-я Кабельная улица;2-я Кабельная ул.;8980;Vtoraya Kabel`naya ulicza;1;;507;7,70000000000244E+016;58481076
3-я Кабельная улица;3-я Кабельная ул.;8990;Tret`ya Kabel`naya ulicza;1;;507;7,70000000000245E+016;58481077
4-я Кабельная улица;4-я Кабельная ул.;9000;Chetvyortaya Kabel`naya ulicza;1;;507;7,70000000000246E+016;58481078
5-я Кабельная улица;5-я Кабельная ул.;9010;Pyataya Kabel`naya ulicza;1;;507;7,70000000000247E+016;58481079
1-й Кабельный проезд;1-й Кабельный пр.;9020;Pervy'j Kabel`ny'j proezd;3;;507;7,70000000000248E+016;58481080
2-й Кабельный проезд;2-й Кабельный пр.;9030;Vtoroj Kabel`ny'j proezd;3;;507;7,70000000000249E+016;58481081
площадь Амилкара Кабрала;пл. Амилкара Кабрала;9035;ploshhad` Amilkara Kabrala;4;;404;7,70000000003518E+016;58481082
Кавказский бульвар;Кавказский бульв.;9040;Kavkazskij bul`var;8;;618;7,70000000000491E+016;58481083
Кадашёвская набережная;Кадашёвская наб.;9050;Kadashyovskaya naberezhnaya;5;;"0103;0110";7,70000000001404E+016;58481084
1-й Кадашёвский переулок;1-й Кадашёвский пер.;9060;Pervy'j Kadashyovskij pereulok;2;;110;7,70000000001405E+016;58481085
2-й Кадашёвский переулок;2-й Кадашёвский пер.;9070;Vtoroj Kadashyovskij pereulok;2;;110;7,70000000001406E+016;58481086
