1-й Ирининский переулок;1-й Ирининский пер.;Pervy'j Irininskij pereulok;;;
2-й Ирининский переулок;2-й Ирининский пер.;Vtoroj Irininskij pereulok;;;
3-й Ирининский переулок;3-й Ирининский пер.;Tretij Irininskij pereulok;;;
Иркутская улица;Иркутская ул.;Irkutskaya ulicza;;;
1-й Иртышский проезд;1-й Иртышский пр.;Pervy'j Irty'shskij proezd;;;
2-й Иртышский проезд;2-й Иртышский пр.;Vtoroj Irty'shskij proezd;;;
улица Исаковского;ул. Исаковского;ulicza Isakovskogo;;;
улица Искры;ул. Искры;ulicza Iskry';;;
проезд Воскресенские Ворота;пр. Воскресенские Ворота;proezd Voskresenskie Vorota;;;
Истринская улица;Истринская ул.;Istrinskaya ulicza;;;
1-я Кабельная улица;1-я Кабельная ул.;Pervaya Kabel`naya ulicza;;;
2-я Кабельная улица;2-я Кабельная ул.;Vtoraya Kabel`naya ulicza;;;
3-я Кабельная улица;3-я Кабельная ул.;Tret`ya Kabel`naya ulicza;;;
4-я Кабельная улица;4-я Кабельная ул.;Chetvyortaya Kabel`naya ulicza;;;
5-я Кабельная улица;5-я Кабельная ул.;Pyataya Kabel`naya ulicza;;;
1-й Кабельный проезд;1-й Кабельный пр.;Pervy'j Kabel`ny'j proezd;;;
2-й Кабельный проезд;2-й Кабельный пр.;Vtoroj Kabel`ny'j proezd;;;
площадь Амилкара Кабрала;пл. Амилкара Кабрала;ploshhad` Amilkara Kabrala;;;
Кавказский бульвар;Кавказский бульв.;Kavkazskij bul`var;;;
Кадашёвская набережная;Кадашёвская наб.;Kadashyovskaya naberezhnaya;;;
1-й Кадашёвский переулок;1-й Кадашёвский пер.;Pervy'j Kadashyovskij pereulok;;;
2-й Кадашёвский переулок;2-й Кадашёвский пер.;Vtoroj Kadashyovskij pereulok;;;
3-й Кадашёвский переулок;3-й Кадашёвский пер.;Tretij Kadashyovskij pereulok;;;
Кадашёвский тупик;Кадашёвский туп.;Kadashyovskij tupik;;;
проезд Кадомцева;пр. Кадомцева;proezd Kadomczeva;;;
улица Кадырова;ул. Кадырова;ulicza Kady'rova;;;
улица Казакова;ул. Казакова;ulicza Kazakova;;;
Казанский переулок;Казанский пер.;Kazanskij pereulok;;;
1-й Казанский просек;1-й Казанский просек;Pervy'j Kazanskij prosek;;;
2-й Казанский просек;2-й Казанский просек;Vtoroj Kazanskij prosek;;;
Казарменный переулок;Казарменный пер.;Kazarmenny'j pereulok;;;
1-й Казачий переулок;1-й Казачий пер.;Pervy'j Kazachij pereulok;;;
2-й Казачий переулок;2-й Казачий пер.;Vtoroj Kazachij pereulok;;;
Малый Каковинский переулок;М. Каковинский пер.;Maly'j Kakovinskij pereulok;;;
Каланчёвская улица;Каланчёвская ул.;Kalanchyovskaya ulicza;;;
Каланчёвский тупик;Каланчёвский туп.;Kalanchyovskij tupik;;;
Калашный переулок;Калашный пер.;Kalashny'j pereulok;;;
Калибровская улица;Калибровская ул.;Kalibrovskaya ulicza;;;
Большая Калитниковская улица;Б. Калитниковская ул.;Bol`shaya Kalitnikovskaya ulicza;;;
Малая Калитниковская улица;М. Калитниковская ул.;Malaya Kalitnikovskaya ulicza;;;
Средняя Калитниковская улица;Ср. Калитниковская ул.;Srednyaya Kalitnikovskaya ulicza;;;
Большой Калитниковский проезд;Б. Калитниковский пр.;Bol`shoj Kalitnikovskij proezd;;;
Малый Калитниковский проезд;М. Калитниковский пр.;Maly'j Kalitnikovskij proezd;;;
Калошин переулок;Калошин пер.;Kaloshin pereulok;;;
Малая Калужская улица;М. Калужская ул.;Malaya Kaluzhskaya ulicza;;;
Малый Калужский переулок;М. Калужский пер.;Maly'j Kaluzhskij pereulok;;;
Калмыков переулок;Калмыков пер.;Kalmy'kov pereulok;;;
Долгоруковская улица;Долгоруковская ул.;Dolgorukovskaya ulicza;;;
улица Каманина;ул. Каманина;ulicza Kamanina;;;
улица Большие Каменщики;ул. Б. Каменщики;ulicza Bol`shie Kamenshhiki;;;
улица Малые Каменщики;ул. М. Каменщики;ulicza Maly'e Kamenshhiki;;;
улица Камова;ул. Камова;ulicza Kamova;;;
Камчатская улица;Камчатская ул.;Kamchatskaya ulicza;;;
Канатчиковский проезд;Канатчиковский пр.;Kanatchikovskij proezd;;;
Кантемировская улица;Кантемировская ул.;Kantemirovskaya ulicza;;;
Капельский переулок;Капельский пер.;Kapel`skij pereulok;;;
улица Академика Капицы;ул. Академика Капицы;ulicza Akademika Kapiczy';;;
улица Сергея Капицы;ул. Сергея Капицы;ulicza Sergeya Kapiczy';;;
1-й Капотнинский проезд;1-й Капотнинский пр.;Pervy'j Kapotninskij proezd;;;
2-й Капотнинский проезд;2-й Капотнинский пр.;Vtoroj Kapotninskij proezd;;;
улица Капотня;ул. Капотня;ulicza Kapotnya;;;
переулок Капранова;пер. Капранова;pereulok Kapranova;;;
проезд Карамзина;пр. Карамзина;proezd Karamzina;;;
Карамышевская набережная;Карамышевская наб.;Karamy'shevskaya naberezhnaya;;;
Карамышевский проезд;Карамышевский пр.;Karamy'shevskij proezd;;;
Карачаровская улица;Карачаровская ул.;Karacharovskaya ulicza;;;
1-я Карачаровская улица;1-я Карачаровская ул.;Pervaya Karacharovskaya ulicza;;;
2-я Карачаровская улица;2-я Карачаровская ул.;Vtoraya Karacharovskaya ulicza;;;
3-я Карачаровская улица;3-я Карачаровская ул.;Tret`ya Karacharovskaya ulicza;;;
