1-ая Лесная улица;1-ая Лесная ул.;PervayaLesnaya
1-й Автозаводский проезд;1-й Автозаводский пр.;PervyjAvtozavodskijPrd
1-й Амбулаторный проезд;1-й Амбулаторный пр.;PervyjAmbulatornyjPrd
1-й Архивный переулок;1-й Архивный пер.;PervyjArhivnyjPer
1-й Бабьегородский переулок;1-й Бабьегородский пер.;PervyjBabegorodskijPer
1-й Балтийский переулок;1-й Балтийский пер.;PervyjBaltijskijPer
1-й Басманный переулок;1-й Басманный пер.;PervyjBasmannyjPer
1-й Белокаменный проезд;1-й Белокаменный пр.;PervyjBelokamennyjPrd
1-й Богородский переулок;1-й Богородский пер.;PervyjBogorodskijPer
1-й Богучарский переулок;1-й Богучарский пер.;PervyjBogucharskijPer
1-й Ботанический проезд;1-й Ботанический пр.;PervyjBotanicheskijPrd
1-й Боткинский проезд;1-й Боткинский пр.;PervyjBotkinskijPrd
1-й Варшавский проезд;1-й Варшавский пр.;PervyjVarshavskijPrd
1-й Верхний Михайловский проезд;1-й Верх. Михайловский пр.;PervyjVerhnijMihajlovskijPrd
1-й Вешняковский проезд;1-й Вешняковский пр.;PervyjVeshnyakovskijPrd
1-й Войковский проезд;1-й Войковский пр.;PervyjVojkovskijPrd
1-й Волконский переулок;1-й Волконский пер.;PervyjVolkonskijPer
1-й Волоколамский проезд;1-й Волоколамский пр.;PervyjVolokolamskijPrd
1-й Вражский переулок;1-й Вражский пер.;PervyjVrazhskijPer
1-й Вышеславцев переулок;1-й Вышеславцев пер.;PervyjVysheslavczevPer
1-й Вязовский проезд;1-й Вязовский пр.;PervyjVyazovskijPrd
1-й Голутвинский переулок;1-й Голутвинский пер.;PervyjGolutvinskijPer
1-й Гончарный переулок;1-й Гончарный пер.;PervyjGoncharnyjPer
1-й Гончаровский переулок;1-й Гончаровский пер.;PervyjGoncharovskijPer
1-й Грайвороновский проезд;1-й Грайвороновский пр.;PervyjGrajvoronovskijPrd
1-й Дачно-Мещерский проезд;1-й Дачно-Мещерский пр.;PervyjDachnoMeshherskijPrd
1-й Двинский переулок;1-й Двинский пер.;PervyjDvinskijPer
1-й Дербеневский переулок;1-й Дербеневский пер.;PervyjDerbenevskijPer
1-й Добрынинский переулок;1-й Добрынинский пер.;PervyjDobryninskijPer
1-й Донской проезд;1-й Донской пр.;PervyjDonskojPrd
1-й Дорожный проезд;1-й Дорожный пр.;PervyjDorozhnyjPrd
1-й Дорожный проезд;1-й Дорожный пр.;PervyjDorozhnyjPrd
1-й Дубровский проезд;1-й Дубровский пр.;PervyjDubrovskijPrd
1-й Дунайский переулок;1-й Дунайский пер.;PervyjDunajskijPer
1-й Железнодорожный переулок;1-й Железнодорожный пер.;PervyjZheleznodorozhnyjPer
1-й Заречный переулок;1-й Заречный пер.;PervyjZarechnyjPer
