Абабурово;P;Ababurovo
Акиньшино;D;Akinshino
Акулово;D;Akulovo
Акулово;D;Akulovo
Акулово;P;Akulovo
Александрово;D;Aleksandrovo
Алхимово;D;Alhimovo
Алымовка;D;Alymovka
Андреевское;D;Andreevskoe
Анкудиново;D;Ankudinovo
Армазово;D;Armazovo
Армейский;P;Armejskij
Архангельское;D;Arhangelskoe
Бабенки;D;Babenki
Бакланово;D;Baklanovo
Бараново;D;Baranovo
Батыбино;D;Batybino
Бачурино;D;Bachurino
Безобразово;D;Bezobrazovo
Белоусово;D;Belousovo
Богородское;D;Bogorodskoe
Богоявление;S;Bogoyavlenie
БольшоеПокровское;D;BolshoePokrovskoe
БольшоеСвинорье;D;BolshoeSvinore
Ботаково;D;Botakovo
Брёхово;H;Bryohovo
Бунчиха;D;Bunchiha
Бурцево;D;Burczevo
Былово;S;Bylovo
Валуево;P;Valuevo
Варварино;D;Varvarino
Васюнино;D;Vasyunino
Ватутинки;D;Vatutinki
ВерхнееВалуево;D;VerhneeValuevo
Верховье;D;Verhove
Власово;D;Vlasovo
Власьево;D;Vlasevo
Внуково;D;Vnukovo
Внуково;P;Vnukovo
Внуково;P;Vnukovo
Внуково;Pst;Vnukovo
Вороново;S;Voronovo
Ворсино;D;Vorsino
Восточный;P;Vostochnyj
Вяткино;D;Vyatkino
Газопровод;P;Gazoprovod
Говорово;D;Govorovo
Голенищево;D;Golenishchevo
Голохвастово;D;Golohvastovo
Голохвастово;D;Golohvastovo
Горнево;D;Gornevo
Городище;D;Gorodishche
Городок;D;Gorodok
Горчаково;D;Gorchakovo
Губкино;D;Gubkino
Губцево;D;Gubczevo
Давыдково;D;Davydkovo
Давыдово;D;Davydovo
Девятское;D;Devyatskoe
Десна;D;Desna
ДетскогоДомаМолодаяГвардия;P;DetskogoDomaMolodayaGvardiya
Дешино;D;Deshino
Дмитровка;D;Dmitrovka
Долгино;D;Dolgino
ДомаОтдыхаВороново;P;DomaOtdyhaVoronovo
ДомаОтдыхаПахра;P;DomaOtdyhaPahra
ДомаОтдыхаПлесково;P;DomaOtdyhaPleskovo
ДорожноРемонтногоПункта;P;DorozhnoRemontnogoPunkta
Дровнино;D;Drovnino
ДскМичуринец;P;DskMichurinecz
Дубовка;D;Dubovka
Дудкино;D;Dudkino
Евсеево;D;Evseevo
Елизарово;D;Elizarovo
Ерино;D;Erino
Ерино;P;Erino
Жохово;D;Zhohovo
Жуковка;D;Zhukovka
Заболотье;D;Zabolote
ЗаводаМосрентген;P;ZavodaMosrentgen
Зверево;D;Zverevo
Зимёнки;D;Zimyonki
ЗнамяОктября;P;ZnamyaOktyabrya
ЗосимоваПустынь;P;ZosimovaPustyn
Зыбино;D;Zybino
Ивановское;D;Ivanovskoe
Иваньково;D;Ivankovo
Игнатово;D;Ignatovo
Изварино;D;Izvarino
Ильино;D;Ilino
Ильичёвка;H;Ilichyovka
ИнститутаПолиомиелита;P;InstitutaPoliomielita
Исаково;D;Isakovo
Каменка;D;Kamenka
Каменка;D;Kamenka
Капустинка;P;Kapustinka
Каракашево;D;Karakashevo
Картмазово;D;Kartmazovo
Киевский;RP;Kievskij
КирпичногоЗавода;P;KirpichnogoZavoda
Киселёвка;D;Kiselyovka
Киселёво;D;Kiselyovo
Клёновка;D;Klyonovka
Клёново;S;Klyonovo
Климовка;D;Klimovka
Клоково;D;Klokovo
Кнутово;D;Knutovo
Князево;D;Knyazevo
Кокошкино;DP;Kokoshkino
Колотилово;D;Kolotilovo
Коммунарка;P;Kommunarka
Конаково;D;Konakovo
Кончеево;D;Koncheevo
Конюшково;D;Konyushkovo
Коротыгино;D;Korotygino
Косовка;D;Kosovka
Костишово;D;Kostishovo
КраснаяПахра;D;KrasnayaPahra
КраснаяПахра;S;KrasnayaPahra
Красное;P;Krasnoe
Красное;S;Krasnoe
КрасныеГорки;P;KrasnyeGorki
Крёкшино;D;Kryokshino
Крёкшино;Pst;Kryokshino
Кресты;D;Kresty
Кривошеино;D;Krivosheino
Круги;P;Krugi
Круча;D;Krucha
Кувекино;D;Kuvekino
Кузенево;D;Kuzenevo
Кузнецово;D;Kuzneczovo
Кузовлёво;D;Kuzovlyovo
