1-ая Лесная улица;1-ая Лесная ул.;PervayaLesnaya;PervayaLesnaya
1-й Автозаводский проезд;1-й Автозаводский пр.;PervyjAvtozavodskijPrd;PervyjAvtozavodskij
1-й Амбулаторный проезд;1-й Амбулаторный пр.;PervyjAmbulatornyjPrd;PervyjAmbulatornyj
1-й Архивный переулок;1-й Архивный пер.;PervyjArhivnyjPer;PervyjArhivnyj
1-й Бабьегородский переулок;1-й Бабьегородский пер.;PervyjBabegorodskijPer;PervyjBabegorodskij
1-й Балтийский переулок;1-й Балтийский пер.;PervyjBaltijskijPer;PervyjBaltijskij
1-й Басманный переулок;1-й Басманный пер.;PervyjBasmannyjPer;PervyjBasmannyj
1-й Белокаменный проезд;1-й Белокаменный пр.;PervyjBelokamennyjPrd;PervyjBelokamennyj
1-й Богородский переулок;1-й Богородский пер.;PervyjBogorodskijPer;PervyjBogorodskij
1-й Богучарский переулок;1-й Богучарский пер.;PervyjBogucharskijPer;PervyjBogucharskij
1-й Ботанический проезд;1-й Ботанический пр.;PervyjBotanicheskijPrd;PervyjBotanicheskij
1-й Боткинский проезд;1-й Боткинский пр.;PervyjBotkinskijPrd;PervyjBotkinskij
1-й Варшавский проезд;1-й Варшавский пр.;PervyjVarshavskijPrd;PervyjVarshavskij
1-й Верхний Михайловский проезд;1-й Верх. Михайловский пр.;PervyjVerhnijMihajlovskijPrd;PervyjVerhnijMihajlovskij
1-й Вешняковский проезд;1-й Вешняковский пр.;PervyjVeshnyakovskijPrd;PervyjVeshnyakovskij
1-й Войковский проезд;1-й Войковский пр.;PervyjVojkovskijPrd;PervyjVojkovskij
1-й Волконский переулок;1-й Волконский пер.;PervyjVolkonskijPer;PervyjVolkonskij
1-й Волоколамский проезд;1-й Волоколамский пр.;PervyjVolokolamskijPrd;PervyjVolokolamskij
1-й Вражский переулок;1-й Вражский пер.;PervyjVrazhskijPer;PervyjVrazhskij
1-й Вышеславцев переулок;1-й Вышеславцев пер.;PervyjVysheslavczevPer;PervyjVysheslavczev
1-й Вязовский проезд;1-й Вязовский пр.;PervyjVyazovskijPrd;PervyjVyazovskij
1-й Голутвинский переулок;1-й Голутвинский пер.;PervyjGolutvinskijPer;PervyjGolutvinskij
1-й Гончарный переулок;1-й Гончарный пер.;PervyjGoncharnyjPer;PervyjGoncharnyj
1-й Гончаровский переулок;1-й Гончаровский пер.;PervyjGoncharovskijPer;PervyjGoncharovskij
1-й Грайвороновский проезд;1-й Грайвороновский пр.;PervyjGrajvoronovskijPrd;PervyjGrajvoronovskij
1-й Дачно-Мещерский проезд;1-й Дачно-Мещерский пр.;PervyjDachnoMeshherskijPrd;PervyjDachnoMeshherskij
1-й Двинский переулок;1-й Двинский пер.;PervyjDvinskijPer;PervyjDvinskij
1-й Дербеневский переулок;1-й Дербеневский пер.;PervyjDerbenevskijPer;PervyjDerbenevskij
1-й Добрынинский переулок;1-й Добрынинский пер.;PervyjDobryninskijPer;PervyjDobryninskij
1-й Донской проезд;1-й Донской пр.;PervyjDonskojPrd;PervyjDonskoj
1-й Дорожный проезд;1-й Дорожный пр.;PervyjDorozhnyjPrd;PervyjDorozhnyj
1-й Дорожный проезд;1-й Дорожный пр.;PervyjDorozhnyjPrd;PervyjDorozhnyj
1-й Дубровский проезд;1-й Дубровский пр.;PervyjDubrovskijPrd;PervyjDubrovskij
1-й Дунайский переулок;1-й Дунайский пер.;PervyjDunajskijPer;PervyjDunajskij
1-й Железнодорожный переулок;1-й Железнодорожный пер.;PervyjZheleznodorozhnyjPer;PervyjZheleznodorozhnyj
1-й Заречный переулок;1-й Заречный пер.;PervyjZarechnyjPer;PervyjZarechnyj
1-й Заречный проезд;1-й Заречный пр.;PervyjZarechnyjPrd;PervyjZarechnyj
1-й Зачатьевский переулок;1-й Зачатьевский пер.;PervyjZachatevskijPer;PervyjZachatevskij
1-й Зборовский переулок;1-й Зборовский пер.;PervyjZborovskijPer;PervyjZborovskij
1-й Земельный переулок;1-й Земельный пер.;PervyjZemelnyjPer;PervyjZemelnyj
1-й Зимёнковский переулок;1-й Зимёнковский пер.;PervyjZimyonkovskijPer;PervyjZimyonkovskij
